@timestamp,agent.hostname,source.ip,source.port,destination.ip,destination.port,network.transport,network.packets,destination.bytes,source.bytes,bytes_in,bytes_out,Technique
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,37882,192.168.91.1,10,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,37886,192.168.91.1,10,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,37886,192.168.91.1,10,tcp,1,0,74,0,0,1
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,39896,10.0.0.21,11,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,39896,10.0.0.21,11,0,2,56,76,0,0,0
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,50412,192.168.91.1,11,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,50412,192.168.91.1,11,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,50412,192.168.91.1,11,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,50412,192.168.91.1,11,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,50412,192.168.91.1,11,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,50412,192.168.91.1,11,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,50412,192.168.91.1,11,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,50412,192.168.91.1,11,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,50414,192.168.91.1,11,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:35:30.017",webserver0logs,192.168.91.128,50414,192.168.91.1,11,tcp,1,0,74,0,0,1
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,43508,10.0.0.21,12,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,43508,10.0.0.21,12,0,2,56,76,0,0,0
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,42706,192.168.91.1,12,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,42706,192.168.91.1,12,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,42706,192.168.91.1,12,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,42706,192.168.91.1,12,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,42706,192.168.91.1,12,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,42706,192.168.91.1,12,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,42706,192.168.91.1,12,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,42706,192.168.91.1,12,tcp,1,0,74,0,0,1
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,52722,10.0.0.21,13,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,52722,10.0.0.21,13,0,2,56,76,0,0,0
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,47366,192.168.91.1,13,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,47366,192.168.91.1,13,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,47366,192.168.91.1,13,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,47366,192.168.91.1,13,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,47366,192.168.91.1,13,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,47366,192.168.91.1,13,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,47366,192.168.91.1,13,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,47366,192.168.91.1,13,tcp,1,0,74,0,0,1
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,53510,10.0.0.21,14,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,53510,10.0.0.21,14,0,2,56,76,0,0,0
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,55166,192.168.91.1,14,tcp,2,0,148,0,0,1
